Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S15a,38,23.6%,28,25.69%,"آمن (يؤمن, اعتقد, يعتقد, believe) (sid_104), اتعلم (تعلم, learn) (sid_78), الاتنين (يوم الاتنين, الاثنين, يوم الاثنين, Monday) (sid_3), الاربع (يوم الاربع, الأربعاء, يوم الأربعاء, Wednesday) (sid_5), العاشر من رمضان (10th of Ramadan) (sid_93), بنى (يبني, build) (sid_105), بواب (doorman) (sid_27), بيت (home, house) (sid_74), تحاشى (اتجنب, avoid) (sid_106), جامعة (university) (sid_75), جيش (army) (sid_25), دبابة (tank) (sid_63), دبح (يدبح, دباحة, ذبح, يذبح, ذباحة, slaughter, sacrifice, butcher, massacre) (sid_10), رشوة (بقشيش, bribe) (sid_112), رمضان (Ramadan) (sid_87), سيدة زينب (Sayyeda Zeinab) (sid_84), شبرا (Shubra) (sid_80), طحينة (tehina) (sid_64), عسل (honey) (sid_55), فيروس (virus) (sid_22), فيس (فيسبوك, الفيس, فيس بوك, Facebook) (sid_37), قانون (law) (sid_48), مدرسة (school) (sid_76), مصر (مصري, Egypt, Egyptian) (sid_73), مطرية (Matareya) (sid_92), موجود (present, existent) (sid_57), ميكروباص (سرفيس, microbus) (sid_81), نظام (system) (sid_47)",38,23.6
S100,18,11.18%,15,13.76%,"أم (ماما, mother, mom) (sid_40), اسبوع (week) (sid_46), الاتحاد السوفيتي (سوفيتي, USSR, Soviet) (sid_17), السبت (سبت, يوم السبت, Saturday) (sid_1), بكره (بكرة, غدا, الغد, tomorrow) (sid_109), تحرير (التحرير, Tahrir) (sid_60), جنينة (حديقة, garden) (sid_86), طحينة (tehina) (sid_64), عتبة (Ataba) (sid_62), فيروس (virus) (sid_22), قانون (law) (sid_48), كلمة (word) (sid_31), مدرس (مدرّس, استاز, أستاذ, استاذ, teacher, teach, درّس) (sid_77), ملح (salt) (sid_53), يابان (ياباني, Japanese, Japan) (sid_13)",56,34.78
S14c,10,6.21%,7,6.42%,"اشارة (إشارة, لغة الإشارة, لغة الاشارة, sign, sign language) (sid_72), حلوان (Helwan) (sid_90), عيلة (عائلة, أسرة, family) (sid_65), قسيس (priest) (sid_28), ملك (ملكوت, king, kingdom) (sid_12), نت (انترنت, الشبكة العنكبوتية, internet) (sid_36), نور (ضوء, light) (sid_45)",66,40.99
S1ed,9,5.59%,7,6.42%,"ألمانيا (Germany) (sid_20), الخميس (يوم الخميس, Thursday) (sid_8), شخص (person) (sid_21), شمس (sun) (sid_44), شهر (month) (sid_43), مسلم (Muslim) (sid_11), مصر الجديدة (مصر جديدة, New Cairo) (sid_101)",75,46.58
S16d,8,4.97%,6,5.5%,"الاتحاد السوفيتي (سوفيتي, USSR, Soviet) (sid_17), الزمالك (زمالك, Zamalek) (sid_61), اوتوبيس (أوتوبيس, autobus, bus) (sid_82), سعد زغلول (Saad Zaghloul) (sid_99), صاحب (صديق, friend) (sid_66), هولاندا (Holland) (sid_18)",83,51.55
S1dc,6,3.73%,3,2.75%,"6 أكتوبر (6th of October) (sid_94), أمريكا (امريكا, أمريكي, امريكي, America, American) (sid_71), عرابي (Orabi) (sid_89)",89,55.28
S1f5,6,3.73%,5,4.59%,"امبارح (أمس, yesterday) (sid_110), امتحان (اختبار, تجربة, test, temptation) (sid_111), جوز (جوزة, زوج, زوجة, husband, wife) (sid_67), مكان (place) (sid_59), ميكروباص (سرفيس, microbus) (sid_81)",95,59.01
S115,5,3.11%,5,4.59%,"بواب (doorman) (sid_27), بوليس (شرطة, police) (sid_26), مدينة ناصر (Nasr City) (sid_102), مصر قديمة (مصر القديمة, Old Cairo) (sid_100), يعني (معنى, meaning, in other words) (sid_58)",100,62.11
S1ef,4,2.48%,3,2.75%,"الزيتون (زيتون, olive, Zaytoun) (sid_85), غمرة (Ghamra) (sid_95), قسيس (priest) (sid_29)",104,64.6
S10e,4,2.48%,3,2.75%,"فيروس (virus) (sid_22), مدينة ناصر (Nasr City) (sid_102), يعني (معنى, meaning, in other words) (sid_58)",108,67.08
