dic_gloss,synonyms,sid,FSW
1,,1703,M507x515S10000492x485
1,,214,M508x512S1f502493x488
2,,1657,M508x515S10e00493x485
2,,1664,M512x515S1dc01489x485
3,,543,M512x515S11e00489x485
4,,1483,M510x515S18e00490x485
4,,1897,M511x515S14400489x484
5,,1675,M512x515S14c00489x484
6,,1524,M527x516S1f524473x501S14c20504x485
7,,308,M525x516S1dc28474x486S14c20502x484
8,,1491,M525x515S11e28475x484S14c20502x484
9,,1386,M524x516S18e28475x486S14c20501x484
16,,1672,M519x517S15d18481x489S20500501x483S1f540504x493
16,szesnaście,2,M513x523S20600488x477S1f502490x489S15d29490x500
17,,1135,M524x517S15d18476x489S20500496x483S1dc10500x487
17,siedemnaście,27,M523x520S1dc01478x481S20600501x494S15d29478x497
18,,893,M524x517S15d18475x488S20500495x482S12410497x487
18,osiemnaście,33,M520x521S11e00481x491S15d29486x497S20600498x480
19,,1768,M523x518S15d18476x490S20500494x482S14410501x487
19,dziewiętnaście,34,M524x518S15d18477x490S20500495x482S14410502x487
90,,383,M527x523S1f70a510x485S20500502x477S3770b489x497S37703505x499S22a00500x508S1444e473x486
1000,,276,M532x528S1f521510x472S22b03483x494S2f900469x523
?,,121,S38902493x464
.,,129,S38802496x464
20-zl,,305,M518x527S1dc02488x499S20300483x512S20e00487x490S26a00482x473
30-zl,,1532,M518x530S11e02488x493S20300484x515S20e00485x485S26a00482x470
40-zl,,405,M516x534S20304486x519S14402485x496S20e00488x480S26a00483x465
50-zl,,271,M516x534S20300488x519S14c02485x493S20e00488x481S26a00484x466
A,,1828,M507x507S20320492x492
a,"a, a",106,S38802496x464
a,"a, a",115,S38802496x464
a,"a, a",133,S38802496x464
a,"a, a",146,S38802496x464
a,"a, a",77,S38802496x464
a,"a, a",82,S38802496x464
Ą,,1646,M515x520S20320485x505S2e500492x480
absolutnie,,546,M572x578S15d21495x545S2f900551x572S15d29484x544S2f900444x573S2fb00494x530S26606519x540S26612451x543S15d27549x545S15d2f427x545S30c00482x488S30306482x477
ach,,2100,M518x517S34700482x482S31400482x482
adres,,584,M538x565S30006482x482S15d10519x484S20600508x552S15d39485x542S1f502497x527S22a03514x516
afera,,438,M535x547S20331491x526S2e711465x506S20351499x525S21100500x509S14c51493x461S14c38477x481S2e701515x453
Afganistan,,42,M519x517S2ff00482x482S1ea51491x457S2ea02488x442
Afryka,,851,M518x563S11e18490x503S2ff00482x482S20e00496x534S26a00487x549
Agnieszka Klimczewska,,2034,M549x533S14c18480x467S14c10500x480S20e00502x467S37a06454x531S37a06501x531S23100521x477S23118451x476
Agnieszka Kołodziejczak,,1891,M526x527S15d48473x485S10042496x498S2f001498x472S37a06478x525
Agnieszka Zając,,2280,M543x579S10000522x494S2ff00482x482S29304523x526S37906465x577S37906503x577
agresywny,,1925,M553x585S30c00482x482S35600482x482S14e02498x527S14e0a479x551S23600514x549S23614459x521S21100532x530S21100468x538S2f700502x578
aha,,108,M539x528S36d00479x472S20e00503x482S1f036513x481S23404502x514
aha,,669,M545x595S2a603509x556S20e00515x530S1f036525x529S1f451515x574S30a00482x488S30104482x477
akcja,,554,M547x516S2ea09526x494S1f701512x483S2fb00491x486S2ea11452x494S1f709467x484
albo,,1202,M525x520S20331475x488S20351476x495S20500487x480S20337504x493S20357503x499S20500513x482
ale,,1299,M527x520S1f524473x505S1dc20497x489S20500488x498S22e00510x479
ale,,2110,M542x536S33e00482x482S31900482x482S10010527x506S26500527x496
ale,,432,M551x550S10020531x520S30d00482x482S26c02536x507
Aleksander Kwaśniewski,,459,M535x553S35610482x482S1ea10510x500S20e00520x490S2df04514x522S37a06486x551
Aleksandra Kalata-Zawlocka,,1245,M542x517S33e00482x482S1ce10503x473S22f03521x489
alkohol,,1734,M541x529S36a00482x477S18200510x514S20600519x497
alkohol,,2250,M534x538S36a00482x477S1bc17506x514S21d00516x508
Allah,,1678,M556x584S2ff00454x483S10020435x510S26700426x463S2ff00510x481S15d20536x524S15d28503x525S15d50537x557S15d58503x557
alleluja,,1819,M541x517S20320526x494S32107482x482S26500526x473S2f900527x464
ambasada,,514,M541x554S36d00479x446S2f900526x549S2f900527x492S26500525x504S20340526x472S20340524x526
ambasador,,1327,M541x554S36d00479x446S2f900526x549S2f900527x492S26500525x504S20340526x472S20340524x526
Ameryka,,1629,M547x538S14418509x507S26900531x518S20e00496x521S2ff00482x482
Ameryka,,2008,M530x539S2ff00482x482S14710494x517S20500507x513S26500514x522S2f900519x512
amerykański,,1105,M559x538S14418508x507S2ff00482x482S20e00495x521S26b00532x518
Andrzej Kopeć,,1337,M534x522S11857506x491S11859466x501S22120512x480S22120478x486S2fb00496x478
Anglia,"Wielka Brytania, Anglik, angielski",1289,M553x522S36d00479x493S17832527x478S23004521x504S20500543x490
Anglia,"angielski, Anglik, Wielka Brytania",313,M549x527S36d00479x483S14e00524x473S2ee00521x504S20500512x492
ani,"żaden, żadny, wcale, w ogóle",1181,M534x577S2f900523x572S20320495x519S29b04512x528S2ff33479x482
anioł,,440,M547x534S36d00479x466S20500483x516S20500509x516S2f900482x529S2f900508x528S37806452x498S19a5a476x484S37806515x497S19a52505x484S2ea18455x469S2ea00530x468
Antarktyda,,1663,M535x572S2ff00482x483S21410492x551S14c18510x541S1f540493x521S20e00522x519S26520521x499
Antarktyda,,1700,M536x567S1f510492x518S26520522x523S14c19496x540S20500493x535S20e00510x516S2ff00482x482
aparat słuchowy,,2125,M546x527S33010479x482S10650523x480S22e04529x509S20500510x478
aparaty słuchowe,,2126,M546x540S20500514x479S10650525x491S22e04528x520S33000476x482S10658452x494S20500472x481S22e14453x522S2fb00493x525
apaszka,,2220,M571x550S36a00482x477S1ea11507x517S1ea19476x525S2e700539x518S2e718458x525S26506556x527S26512437x530
apostoł,,408,M549x525S36d00479x475S1f540508x501S2f900528x497S2f900528x519S26500535x503
Arab,arabski,1481,M522x517S30000482x482S20320493x470S20500512x473
arkusz kalkulacyjny,,259,M575x528S15a00443x472S18010449x481S20500426x475S20500427x488S22a04462x500S14c02544x473S14c0a489x472S22512533x473S22516518x473S22b04556x498S22b14495x497S2fb00526x505
ateizm,,1030,M552x557S15d39418x522S15d51415x534S20e00441x506S26607440x521S15d20533x491S2ff00482x482S2e500521x462
ateizm,ateista,2009,M629x586S12d02462x548S18210496x555S30326482x476S15d39542x548S15a41550x547S27101525x522S21100557x524S15a20614x498S2e500606x463S26506489x572
audiogram,,2116,M535x591S2ff00482x482S15410520x487S15414463x487S10021503x535S10029471x535S24302507x562S2431a474x562
audiometr,,2121,M535x517S2ff00482x482S15410520x487S15414463x487
aureola,,794,M518x517S32100482x482S2ea02487x442S10c52489x461
aureola płonie,,585,M536x517S32100482x482S2ea02511x471S14c20490x449S22520485x436
Australia,,1815,M540x533S2ff00482x482S20e00493x519S14c18507x500S26900524x515
Austria,,1075,M525x525S16c10475x485S16c18505x485S3770b483x503S37703494x503S20500495x494S36d00479x476
Austria,,1403,M543x525S36d00479x476S20500495x494S3770b483x503S37703494x503S1e102469x487S1e10a507x487S21800525x485S21800458x486
auto,,548,M530x521S20301469x500S20301509x500S26500513x478S26510473x479S2fb00491x495
autobus,,1044,M524x539S16d10492x479S16d18483x500S27110476x524S27100483x460S20500494x498S2fb00509x501
autobus,,1339,M573x554S2ff33479x482S16d08526x513S16d20547x513S23100547x537S23110521x537
autobus,,2010,M547x534S36d00479x466S20341526x495S20600523x523
autobus,,524,M528x520S16d10498x479S16d18489x500S26500514x485S26514473x504S20500500x498
autobus,,919,M539x534S20301461x513S20307518x511S26710462x465S26700519x466S2fb00495x510
autor,,988,M532x518S16d10515x473S30007482x483S26500513x451
autorytet,,989,M530x534S36d00479x467S15a30516x507S22b00514x475
autostrada,,1908,M558x526S10e04511x474S10e0c479x474S26900506x507S26904524x507S26900542x508S26910460x506S26914443x506S26914479x507
Azja,,1187,M532x526S31900482x482S10011511x496S10019468x494S26506516x490S26512468x489
Azja,,35,M552x532S1dc18511x499S26900536x512S20e00495x520S2ff00482x482
Azjata,,1189,M532x526S31900482x482S10011511x496S10019468x494S26506516x490S26512468x489
B,,706,M506x513S15a20494x486
babcia,,1192,M531x543S20600509x516S1f702493x523S2ff00482x482
bać się,,2011,M535x519S20340520x495S20348466x497S26a02500x492S26a16486x492S2fb00491x481
badanie,,1042,M564x517S2a612458x492S2a612474x492S2fb00493x496S2a603510x494S2a603526x494S11850541x483S11858435x483
badanie,,131,M529x523S20600470x498S21400500x503S15a0a495x511S1180e502x476
badanie słuchu,,800,M620x540S2ff00482x482S15410520x487S15414463x487S10a20550x514S2920a589x504S2920a564x503
badminton,,1313,M550x517S20340525x502S2ff00482x482S26b00523x482
bagaż,,2012,M528x518S10e59472x493S10e51489x488S20600506x482
bajka,,1152,M539x546S2ff00482x482S10001516x516S10009460x513S2fb00492x531S2da06523x487S2da1e458x488
bal,,1082,M526x618S33e00482x482S26626493x602S15d0a481x532S15d02499x552S26626493x577S26622490x589
bal,,2013,M534x524S15d39465x494S20500524x493S15d39495x501S20500491x487S10e14472x476S10e04502x480
bal,,2014,M534x551S33e00482x482S17500506x527S17508471x527S26504520x497S26514463x501S20500510x515S20500480x514S21b00526x519S21b00464x522S2fb00492x545
bałagan,,590,M560x569S2ea18473x543S2ea08529x526S35904482x482S10002497x533S1000a490x554S2ea08545x527S2ea18456x543
bałagan,,850,M544x575S14c02496x527S14c0a492x552S35904482x482S2ea08529x526S2ea18473x543
banan,,1407,M528x527S20348486x512S1ea10499x501S2b702471x483S2b700485x473S2b707503x482
bandaż,,223,M521x520S18240497x505S18248479x493S2ea08497x479
bandaż,,3,M525x521S11542495x506S1154a475x494S2ea08498x479
bank,,1648,M527x527S20350472x511S20350512x512S20320474x482S20320512x484S2fb00492x473
baran,baranek,2161,M540x517S2ff00482x482S20320525x490S20320458x491S2ea08525x459S2ea18458x460S2fb00493x473
bardzo,,773,M550x541S2ff00482x483S15a00524x489S2f900539x498S31b00482x482S2df0c518x520
